info,model,exec,algo,split,seed,n,mean_bps,sr,t_nw,hit,long_frac,psr0
causal,75,bracket,grpo,12,7,574,-3.431375357997514,-0.08064787710309451,-1.996798302213536,0.36585365853658536,0.9895470383275261,0.03163987061044746
causal,76,engine,grpo,12,13,658,0.07797401959426663,0.0020237284222683664,0.049597711780620946,0.439209726443769,0.9604863221884499,0.5206970956834011
causal,76,next,grpo,12,13,658,-4.694977041083664,-0.08348175910413211,-2.1123718846087054,0.439209726443769,0.9604863221884499,0.01702133226850633
causal,76,bracket,grpo,12,13,658,-4.677454043469628,-0.10976268470907961,-2.572709346910438,0.36322188449848025,0.9604863221884499,0.0038578151635951506
causal,77,engine,grpo,12,29,646,3.566689923580397,0.09112574641515804,2.4067083755028107,0.46904024767801855,0.521671826625387,0.9910828160972877
causal,77,next,grpo,12,29,646,-0.9961139505054211,-0.01773189974065138,-0.46787666207511497,0.46594427244582043,0.521671826625387,0.3265386804175131
causal,77,bracket,grpo,12,29,646,-0.8218411976823079,-0.0189783973063554,-0.4802435145325005,0.39164086687306504,0.521671826625387,0.31624709053525774
causal,78,engine,ppo,13,7,344,-0.46577424819713065,-0.011773375736473503,-0.21264522034308284,0.4680232558139535,0.2558139534883721,0.4139519421064868
causal,78,next,ppo,13,7,344,-4.047543891651932,-0.06732812194589087,-1.2298027646109797,0.4622093023255814,0.2558139534883721,0.10900712952054042
causal,78,bracket,ppo,13,7,344,-5.111608399714122,-0.11501076159190933,-1.9822314340033607,0.38372093023255816,0.2558139534883721,0.01860829762775702
causal,79,engine,ppo,13,13,447,4.524040909120195,0.11073247808914088,2.648859889543133,0.4697986577181208,0.610738255033557,0.9918235911142625
causal,79,next,ppo,13,13,447,2.2969696909530537,0.03948489243328228,0.8409282518014121,0.46308724832214765,0.610738255033557,0.7996315152027853
causal,79,bracket,ppo,13,13,447,-0.062313665048546685,-0.0013705888703571662,-0.03182857771953518,0.3870246085011186,0.610738255033557,0.4884608559801171
causal,80,engine,ppo,13,29,518,-0.42580414944679545,-0.011102121224964966,-0.2625192004238741,0.4266409266409266,0.8416988416988417,0.4006906897997915
causal,80,next,ppo,13,29,518,-6.226208759491234,-0.11113797356829544,-2.5934895749290456,0.42857142857142855,0.8416988416988417,0.006113919666207994
causal,80,bracket,ppo,13,29,518,-5.134436005097137,-0.120718125513493,-2.845469138004604,0.36486486486486486,0.8416988416988417,0.004035390595940212
causal,81,engine,grpo,13,7,662,3.3717969279443643,0.08780140411490146,2.314214561467062,0.47129909365558914,0.2326283987915408,0.9894177070734687
causal,81,next,grpo,13,7,662,-0.31566546744050145,-0.005649568384546144,-0.15123265842196568,0.4773413897280967,0.2326283987915408,0.44228174696041633
causal,81,bracket,grpo,13,7,662,-0.3773238984035745,-0.008650313236311718,-0.22951817869177107,0.4003021148036254,0.2326283987915408,0.412179804857968
causal,82,engine,grpo,13,13,663,2.024172853091328,0.05314355534811324,1.3561339013835727,0.4675716440422323,0.4343891402714932,0.9169981308161064
causal,82,next,grpo,13,13,663,-1.5766883728972862,-0.02812863157829622,-0.6981489721917645,0.4660633484162896,0.4343891402714932,0.23535503238887506
causal,82,bracket,grpo,13,13,663,-1.1008063254865004,-0.025500088295038317,-0.6499225965980707,0.40271493212669685,0.4343891402714932,0.2572025708979927
causal,83,engine,grpo,13,29,646,2.6305158466631893,0.06822414438452518,1.7467183473001502,0.4613003095975232,0.6486068111455109,0.9611565538930472
causal,83,next,grpo,13,29,646,-2.3495738028539805,-0.041039974300192794,-1.0962990992240345,0.46594427244582043,0.6486068111455109,0.14874858581275302
causal,83,bracket,grpo,13,29,646,-0.4673763993891668,-0.010850291717324798,-0.2776151492566112,0.3993808049535604,0.6486068111455109,0.391940694681681
causal,84,engine,ppo,14,7,640,3.759569392635733,0.09646110731726658,2.5884950594824043,0.4890625,0.340625,0.9936550985035875
causal,84,next,ppo,14,7,640,-0.932410872658256,-0.016411609746213685,-0.42725670699810603,0.48125,0.340625,0.33913497988350655
causal,84,bracket,ppo,14,7,640,-1.3415497496912658,-0.030731245585795538,-0.7911526946636238,0.39375,0.340625,0.2204034247102709
causal,85,engine,ppo,14,13,240,-3.3239077003834145,-0.0902116556867433,-1.5841394107577988,0.3958333333333333,0.5208333333333334,0.08996340821957521
causal,85,next,ppo,14,13,240,-8.286660064501518,-0.1587501139602602,-2.6342522740961907,0.3875,0.5208333333333334,0.008872865830418183
causal,85,bracket,ppo,14,13,240,-10.543187852888677,-0.27047136083543427,-4.115456229151379,0.30416666666666664,0.5208333333333334,8.423089017562577e-05
causal,86,engine,ppo,14,29,550,2.616689684419376,0.06786636146410074,1.504500616300911,0.4763636363636364,0.6,0.947063765115258
causal,86,next,ppo,14,29,550,-0.18795638627729966,-0.003291844283649157,-0.07684194775940605,0.4781818181818182,0.6,0.46927957451881
causal,86,bracket,ppo,14,29,550,-3.0343978328114356,-0.0741542327911227,-1.6414755643095702,0.38545454545454544,0.6,0.04544715186231275
causal,87,engine,grpo,14,7,509,0.13302493204379653,0.003431725074336175,0.07680594836901689,0.44204322200392926,0.7917485265225933,0.5308553459545424
