H,rule,split,cost_bp,start,days,ann_ret,ann_vol,sharpe,t_nw,alpha_ann,alpha_t,beta,psr0,long_frac,turnover_ann,ic,ic_t,ic_months,coin_sr_sd,dsr,p_vs_coin,sr_star_ann,PASS
5,ridge,dev_oof,4.0,2009-06-09,2405.0,-0.040876946604025514,0.13502410753952118,-0.3027381357959426,-0.9782209205912074,-0.05355006130777728,-1.3744339544581257,0.28720595203867466,0.17235505435910997,0.6241164241164241,34.51509355509355,0.06918741664772203,2.1996421281263627,115.0,,,,,
5,ridge,holdout,1.0,2019-01-02,1824.0,0.05796986067835902,0.14188435215620165,0.4085712046282562,1.161669837689535,0.023320019076933637,0.4483181857981303,0.17814202857670408,0.8640687967185878,0.6118421052631579,35.78289473684211,0.032727040444234475,0.7333575441633184,87.0,,,,,
5,ridge,holdout,2.0,2019-01-02,1824.0,0.0543915712046748,0.14188804012545245,0.3833414793564255,1.0894453095704117,0.019734754782518706,0.3792725246172097,0.17817788757797232,0.8487310905386318,0.6118421052631579,35.78289473684211,0.032727040444234475,0.7333575441633184,87.0,,0.2343850567818384,0.08,0.6527130876870972,False
5,ridge,holdout,4.0,2019-01-02,1824.0,0.047234992257306374,0.14189736287906962,0.3328813960944563,0.945160620831664,0.012564226193688842,0.24130267877606923,0.17824960558050873,0.8147128032884665,0.6118421052631579,35.78289473684211,0.032727040444234475,0.7333575441633184,87.0,,,,,
5,gbm,dev_oof,1.0,2006-06-13,3157.0,-0.027976094656492055,0.149935295810426,-0.18658778445246307,-0.6893189954841612,-0.04959290932684093,-1.277427989567408,0.28116585604045746,0.25461794196714144,0.6265441875197972,34.88248337028825,0.046269817881261235,1.5496999916438357,151.0,,,,,
5,gbm,dev_oof,2.0,2006-06-13,3157.0,-0.0314643429935209,0.14993367927009607,-0.2098550715669417,-0.775489687438235,-0.0530819397778946,-1.3677275187443128,0.28117602885095966,0.22896507247398262,0.6265441875197972,34.88248337028825,0.046269817881261235,1.5496999916438357,151.0,,0.018699697175757146,0.6,0.37860163361957094,
5,gbm,dev_oof,4.0,2006-06-13,3157.0,-0.038440839667578545,0.1499322692499347,-0.2563880334759577,-0.9479399713722374,-0.06006000068000178,-1.5484264893569977,0.2811963744719639,0.1822982382010339,0.6265441875197972,34.88248337028825,0.046269817881261235,1.5496999916438357,151.0,,,,,
5,gbm,holdout,1.0,2019-01-02,1824.0,0.03142633105855901,0.14193672046390707,0.22141085799252616,0.6612650815259348,0.05640676852467034,1.1414771151689327,-0.12842961466131278,0.7256875530522827,0.5718201754385965,35.67236842105264,0.05921850202219979,1.8539945373430569,87.0,,,,,
5,gbm,holdout,2.0,2019-01-02,1824.0,0.027859094216453724,0.14194469599365162,0.19626724353053468,0.5862435995314207,0.052835448073588774,1.0689289701141456,-0.12840861997985603,0.7023951724992575,0.5718201754385965,35.67236842105264,0.05921850202219979,1.8539945373430569,87.0,,0.10830108941977273,0.196,0.6527130876870972,False
5,gbm,holdout,4.0,2019-01-02,1824.0,0.020724620532243197,0.1419625891955935,0.14598649298858016,0.4361521248044134,0.04569280717142573,0.9239097590908889,-0.12836663061694267,0.6534206550279826,0.5718201754385965,35.67236842105264,0.05921850202219979,1.8539945373430569,87.0,,,,,
5,always_long,dev_oof,2.0,,3157.0,0.08155437700073054,,0.440510825454587,1.594013777976639,,,,,,,,,,,,,,
5,coin_flip,dev_oof,2.0,,,,,-0.1345356656313225,,,,,,,,,,,0.29260323054548043,,,,
5,always_long,holdout,2.0,,1824.0,0.19355947776379656,,1.0810556511223013,3.2621690356202646,,,,,,,,,,,,,,
5,coin_flip,holdout,2.0,,,,,-0.11034920094545769,,,,,,,,,,,0.3502332863481374,,,,
